Species,Species and authority,Category,Use,Group,Location,No. of occurrences in GBIF,Authors,Title,Journal,Volume,Pages,Ist quartile,Median,3rd quartile,Notes
Lannea acida,Lannea acida A. Rich.,Food and nutrition,fruits are taken raw,Food,Upper West Region,36,"Asase, A., & Oteng-Yeboah, A. A. (2012)",Plants used in Wechiau Community Hippopotamus Sanctuary in Northwest Ghana,Ethnobotany Research and Applications,10,605-618,1967,1996,1996,
Lannea acida,Lannea acida A. Rich.,Energy,used as fuel wood for cooking,Fuel,Upper West Region,36,"Asase, A., & Oteng-Yeboah, A. A. (2012)",Plants used in Wechiau Community Hippopotamus Sanctuary in Northwest Ghana,Ethnobotany Research and Applications,10,605-618,1967,1996,1996,
Lannea acida,Lannea acida A. Rich.,Health care,treating malaria,Medicine: Malaria,Upper West Region,36,"Asase, A., Oteng-Yeboah, A. A., Odamtten, G. T., & Simmonds, M. S. (2005)",Ethnobotanical study of some Ghanaian anti-malarial plants,Journal of Ethnopharmacology ,99(2) ,273-279,1967,1996,1996,
Lannea kerstingii,Lannea kerstingii Engl. & K. Krause,Food and nutrition,fruits are taken raw,Food,Upper West Region,15,"Asase, A., & Oteng-Yeboah, A. A. (2012)",Plants used in Wechiau Community Hippopotamus Sanctuary in Northwest Ghana,Ethnobotany Research and Applications,10,605-618,NA,NA,NA,
Lannea kerstingii,Lannea kerstingii Engl. & K. Krause,Energy,used as fuel wood for cooking,Fuel,Upper West Region,15,"Asase, A., & Oteng-Yeboah, A. A. (2012)",Plants used in Wechiau Community Hippopotamus Sanctuary in Northwest Ghana,Ethnobotany Research and Applications,10,605-618,NA,NA,NA,
Lannea kerstingii,Lannea kerstingii Engl. & K. Krause,Social,used for carving stools,Artefacts,Upper West Region,15,"Asase, A., & Oteng-Yeboah, A. A. (2012)",Plants used in Wechiau Community Hippopotamus Sanctuary in Northwest Ghana,Ethnobotany Research and Applications,10,605-618,NA,NA,NA,
Lantana camara,Lantana camara L.,Health care,treating malaria,Medicine: Malaria,Ashanti Region,44,"Komlaga, G., Agyare, C., Dickson, R. A., Mensah, M. L. K., Annan, K., Loiseau, P. M., & Champy, P. (2015)","Medicinal plants and finished marketed herbal products used in the treatment of malaria in the Ashanti region, Ghana",Journal of ethnopharmacology ,172,333-346,1954,1960,2005,
Lantana camara,Lantana camara L.,Health care,treating malaria,Medicine: Malaria,Ashanti Region,44,"Asase, A., & Asafo-Agyei, T. (2011)",Plants used for treatment of malaria in communities around the Bobiri forest reserve in Ghana,"Journal of herbs, spices & medicinal plants ",17(2) ,85-135,1954,1960,2005,
Launaea taraxacifolia ,Launaea taraxacifolia (Wild). Amin ex. C.Je?rey,Health care,used to control blood pressure,Medicine: Blood pressure,Greater Accra Region,30,"Boadu, A. A., & Asase, A. (2017)",Documentation of herbal medicines used for the treatment and Management of Human Diseases by some communities in southern Ghana,Evidence-Based Complementary and Alternative Medicine ,,2017,NA,NA,NA,
Launaea taraxacifolia ,Launaea taraxacifolia (Willd) Amin ex C. Jeffrey ,Health care,treating diabetes mellitus,Medicine: Diabetes,Greater Accra Region,30,"Asase, A., & Yohonu, D. T. (2016)",Ethnobotanical study of herbal medicines for management of diabetes mellitus in Dangme west district of Southern Ghana.,Journal of Herbal Medicine ,6(4),204-209,NA,NA,NA,
Launaea taraxacifolia ,Launaea taraxacifolia (Willd.) Amin ex C. Jeffrey,Health care,treating malaria,Medicine: Malaria,Ashanti Region,30,"Komlaga, G., Agyare, C., Dickson, R. A., Mensah, M. L. K., Annan, K., Loiseau, P. M., & Champy, P. (2015)","Medicinal plants and finished marketed herbal products used in the treatment of malaria in the Ashanti region, Ghana",Journal of ethnopharmacology ,172,333-346,1926,1974,1996,
Lecaniodiscus cupanioides,Lecaniodiscus cupanioides Planch.,Health care,treating miscarriage,Medicine: Miscarriage,Greater Accra Region,0,"Boadu, A. A., & Asase, A. (2017)",Documentation of herbal medicines used for the treatment and Management of Human Diseases by some communities in southern Ghana,Evidence-Based Complementary and Alternative Medicine ,,2017,1969,1995,1996,
Lecaniodiscus cupanioides,Lecaniodiscus cupanioides Planch.,Health care,treating stomach ulcer,Medicine: Ulcer,Greater Accra Region,0,"Boadu, A. A., & Asase, A. (2017)",Documentation of herbal medicines used for the treatment and Management of Human Diseases by some communities in southern Ghana,Evidence-Based Complementary and Alternative Medicine ,,2017,1969,1995,1996,
Leucas martinicensis,Leucas martinicensis (Jacq.) R. Br.,Health care,treating malaria,Medicine: Malaria,Upper West Region,24,"Asase, A., Oteng-Yeboah, A. A., Odamtten, G. T., & Simmonds, M. S. (2005)",Ethnobotanical study of some Ghanaian anti-malarial plants,Journal of Ethnopharmacology ,99(2) ,273-279,1956,1967,1994,
Leucas martinicensis,Leucas martinicensis (Jacq.) R.Br.,Health care,treating fever,Medicine: Fever,Upper West Region,24,"Asase, A., & Oteng-Yeboah, A. A. (2012)",Plants used in Wechiau Community Hippopotamus Sanctuary in Northwest Ghana,Ethnobotany Research and Applications,10,605-618,1956,1967,1994,
Lippia multiflora,,Agriculture,protecting stored products,Post-harvest protectants,"Northern, Upper East and Upper West Regions",52,"Belmain, S., & Stevenson, P. (2001)",Ethnobotanicals in Ghana: reviving and modernising age-old farmer practice,Pesticide outlook ,12(6) ,233-238,1958,1994,2004,
Ludwigia suffruticosa,,Health care,treating convulsion,Medicine: Convulsion,Upper West Region,4,"Wodah, D., & Asase, A. (2012)",Ethnopharmacological use of plants by Sisala traditional healers in northwest Ghana,Pharmaceutical biology ,50(7) ,807-815,NA,NA,NA,
Lycopersicon esculentum,Lycopersicon esculentum Mill.,Health care,treating throat and lung cancer,Medicine: Cancer,Ashanti Region,Name didn’t appear in search,"Agyare, C., Spiegler, V., Asase, A., Scholz, M., Hempel, G., & Hensel, A. (2018) ","An ethnopharmacological survey of medicinal plants traditionally used for cancer treatment in the Ashanti region, Ghana",Journal of ethnopharmacology ,212,137-152,NA,NA,NA,
Macaranga barteri,Macaranga barteri Mull. Arg. ,Health care,treating foot rot ,Medicine: Infections,Greater Accra Region,53,"Boadu, A. A., & Asase, A. (2017)",Documentation of herbal medicines used for the treatment and Management of Human Diseases by some communities in southern Ghana,Evidence-Based Complementary and Alternative Medicine ,,2017,1967,1990,1995,
Malacantha alnifolia,Malacantha alnifolia Pierre ,Health care,treating miscarriage,Medicine: Miscarriage,Greater Accra Region,31,"Boadu, A. A., & Asase, A. (2017)",Documentation of herbal medicines used for the treatment and Management of Human Diseases by some communities in southern Ghana,Evidence-Based Complementary and Alternative Medicine ,,2017,NA,NA,NA,
Mallotus oppositifolius,Mallotus oppositifolius (Geiseler) Müll. Arg.,Health care,"treating genital skin, prostate, breast, throat cancer",Medicine: Cancer,Ashanti Region,100,"Agyare, C., Spiegler, V., Asase, A., Scholz, M., Hempel, G., & Hensel, A. (2018) ","An ethnopharmacological survey of medicinal plants traditionally used for cancer treatment in the Ashanti region, Ghana",Journal of ethnopharmacology ,212,137-152,1963,1977,1995,
Mallotus oppositifolius,Mallotus oppositifolius Geiseler Mull. Arg ,Health care,treating wounds,Medicine: Wound healing,Volta Region,100,"Barku, V. Y., Opoku-Boahen, Y., & Dali, G. A. (2015)","Ethnobotanical study of wound healing plants in Kpando Traditional Area, Ghana",International Journal of Phytomedicine ,6(4) ,564-572,1963,1977,1995,
Mallotus oppositifolius,Mallotus oppositifolius Geiseler Mull. Arg ,Health care,treating wounds,Medicine: Wound healing,Volta Region,100,"Barku, V. Y., Opoku-Boahen, Y., & Dali, G. A. (2015)","Ethnobotanical study of wound healing plants in Kpando Traditional Area, Ghana",International Journal of Phytomedicine ,6(4) ,564-572,1963,1977,1995,
Mammea africana,Mammea africana Sabine,Health care,"treating cervical, breast, skin and throat cancer",Medicine: Cancer,Ashanti Region,18,"Agyare, C., Spiegler, V., Asase, A., Scholz, M., Hempel, G., & Hensel, A. (2018) ","An ethnopharmacological survey of medicinal plants traditionally used for cancer treatment in the Ashanti region, Ghana",Journal of ethnopharmacology ,212,137-152,1970,1992,2001,
Mangifera indica,Mangifera indica L.,Health care,treating stomach aches,Medicine: Analgesic,Upper West Region,3,"Asase, A., & Oteng-Yeboah, A. A. (2012)",Plants used in Wechiau Community Hippopotamus Sanctuary in Northwest Ghana,Ethnobotany Research and Applications,10,605-618,NA,NA,NA,
Mangifera indica,Mangifera indica L.,Health care,treating fever,Medicine: Fever,Upper West Region,3,"Asase, A., & Oteng-Yeboah, A. A. (2012)",Plants used in Wechiau Community Hippopotamus Sanctuary in Northwest Ghana,Ethnobotany Research and Applications,10,605-618,NA,NA,NA,
Mangifera indica,Mangifera indica L.,Health care,treating malaria,Medicine: Malaria,Upper West Region,3,"Asase, A., Oteng-Yeboah, A. A., Odamtten, G. T., & Simmonds, M. S. (2005)",Ethnobotanical study of some Ghanaian anti-malarial plants,Journal of Ethnopharmacology ,99(2) ,273-279,NA,NA,NA,
Mangifera indica,Mangifera indica L.,Health care,treating diarrhoea,Medicine: Diarrhoea,Asanti Region,3,"Appiah, K. S., Mardani, H. K., Osivand, A., Kpabitey, S., Amoatey, C. A., Oikawa, Y., & Fujii, Y. (2017)",Exploring Alternative Use of Medicinal Plants for Sustainable Weed Management,Sustainability,9(8),1468,NA,NA,NA,
Mangifera indica,Mangifera indica L.,Health care,treating fever,Medicine: Fever,Asanti Region,3,"Appiah, K. S., Mardani, H. K., Osivand, A., Kpabitey, S., Amoatey, C. A., Oikawa, Y., & Fujii, Y. (2017)",Exploring Alternative Use of Medicinal Plants for Sustainable Weed Management,Sustainability,9(8),1468,NA,NA,NA,
Mangifera indica,Mangifera indica L.,Health care,treating coughs,Medicine: Coughs,Asanti Region,3,"Appiah, K. S., Mardani, H. K., Osivand, A., Kpabitey, S., Amoatey, C. A., Oikawa, Y., & Fujii, Y. (2017)",Exploring Alternative Use of Medicinal Plants for Sustainable Weed Management,Sustainability,9(8),1468,NA,NA,NA,
Mangifera indica,Mangifera indica L.,Health care,"treating lungs, skin, prostate and throat cancer",Medicine: Cancer,Ashanti Region,3,"Agyare, C., Spiegler, V., Asase, A., Scholz, M., Hempel, G., & Hensel, A. (2018) ","An ethnopharmacological survey of medicinal plants traditionally used for cancer treatment in the Ashanti region, Ghana",Journal of ethnopharmacology ,212,137-152,NA,NA,NA,
Mangifera indica,Mangifera indica L,Health care,treating diabetes mellitus,Medicine: Diabetes,Greater Accra Region,3,"Asase, A., & Yohonu, D. T. (2016)",Ethnobotanical study of herbal medicines for management of diabetes mellitus in Dangme west district of Southern Ghana.,Journal of Herbal Medicine ,6(4),204-209,NA,NA,NA,
Mangifera indica,Mangifera indica L.,Health care,treating malaria,Medicine: Malaria,Ashanti Region,3,"Komlaga, G., Agyare, C., Dickson, R. A., Mensah, M. L. K., Annan, K., Loiseau, P. M., & Champy, P. (2015)","Medicinal plants and finished marketed herbal products used in the treatment of malaria in the Ashanti region, Ghana",Journal of ethnopharmacology ,172,333-346,NA,NA,NA,
Mangifera indica,Mangifera indica L.,Health care,treating malaria,Medicine: Malaria,Ashanti Region,4,"Asase, A., & Asafo-Agyei, T. (2011)",Plants used for treatment of malaria in communities around the Bobiri forest reserve in Ghana,"Journal of herbs, spices & medicinal plants ",17(2) ,85-108,NA,NA,NA,
Manihot esculenta,Manihot esculenta Crantz,Health care,"treating cervical, skin and genital cancer",Medicine: Cancer,Ashanti Region,360,"Agyare, C., Spiegler, V., Asase, A., Scholz, M., Hempel, G., & Hensel, A. (2018) ","An ethnopharmacological survey of medicinal plants traditionally used for cancer treatment in the Ashanti region, Ghana",Journal of ethnopharmacology ,212,137-152,1976,1976,1990,
Manihot esculenta,Manihot esculenta Crantz ,Health care,arresting bleeding,Medicine: Wound healing,Volta Region,360,"Barku, V. Y., Opoku-Boahen, Y., & Dali, G. A. (2015)","Ethnobotanical study of wound healing plants in Kpando Traditional Area, Ghana",International Journal of Phytomedicine ,6(4) ,564-572,1976,1976,1990,
Manihot esculenta,Manihot esculenta Crantz,Health care,treating malaria,Medicine: Malaria,Ashanti Region,360,"Komlaga, G., Agyare, C., Dickson, R. A., Mensah, M. L. K., Annan, K., Loiseau, P. M., & Champy, P. (2015)","Medicinal plants and finished marketed herbal products used in the treatment of malaria in the Ashanti region, Ghana",Journal of ethnopharmacology ,172,333-346,1976,1976,1990,
Manihot utilissima,,Health care,treating skin ulcer,Medicine: Ulcer,Brong-Ahafo Region,,"Henry, S. G., Francis, A., & Kofi, A. (2013)",Ethnobotanical survey of medicinal plants used for the treatment of diarrhoea and skin ulcer in the Brong Ahafo region of Ghana,Journal of Medicinal Plants Research ,7(44) ,3280-3285,NA,NA,NA,Manihot utilissima appeared in GBIF but this paper recorded it as Manihot utillisima
Manihot utilissima,,Health care,treating diarrhoea,Medicine: Diarrhoea,Brong-Ahafo Region,,"Henry, S. G., Francis, A., & Kofi, A. (2013)",Ethnobotanical survey of medicinal plants used for the treatment of diarrhoea and skin ulcer in the Brong Ahafo region of Ghana,Journal of Medicinal Plants Research ,7(44) ,3280-3285,NA,NA,NA,Manihot utilissima appeared in GBIF but this paper recorded it as Manihot utillisima
Mansonia altissima,Mansonia altissima (A.Chev.) A.Chev,Health care,treating breast and skin cancer,Medicine: Cancer,Ashanti Region,40,"Agyare, C., Spiegler, V., Asase, A., Scholz, M., Hempel, G., & Hensel, A. (2018) ","An ethnopharmacological survey of medicinal plants traditionally used for cancer treatment in the Ashanti region, Ghana",Journal of ethnopharmacology ,212,137-152,1939,1992,1995,
Mansonia altissima,Mansonia altissima (A.Chev.) A.Chev.,Health care,treating body pains,Medicine: Analgesic,Brong-Ahafo Region,40,"Addo-Fordjour, P., Belford, E. J. D., & Akonnor, D. (2013)","Diversity and conservation of medicinal plants in the Bomaa community of the Brong Ahafo region, Ghana",Journal of medicinal plants research ,2(9) ,226-233,1939,1992,1995,
Maranthes robusta,Maranthes robusta (Oliv.) Prance ,Health care,treating rheumatism ,Medicine: Rheumatism,Greater Accra Region,12,"Boadu, A. A., & Asase, A. (2017)",Documentation of herbal medicines used for the treatment and Management of Human Diseases by some communities in southern Ghana,Evidence-Based Complementary and Alternative Medicine ,,2017,1956,1956,1957,
Marantochloa leucantha,Marantochloa leucantha (K.Schum.) Milne-Red,Health care,treating boils,Medicine: Infections,Brong-Ahafo Region,37,"Addo-Fordjour, P., Belford, E. J. D., & Akonnor, D. (2013)","Diversity and conservation of medicinal plants in the Bomaa community of the Brong Ahafo region, Ghana",Journal of medicinal plants research ,2(9) ,226-233,1956,1995,1996,
Mareya micrantha,Mareya micrantha (Benth.) Müll. Arg.,Health care,treating malaria,Medicine: Malaria,Ashanti Region,77,"Komlaga, G., Agyare, C., Dickson, R. A., Mensah, M. L. K., Annan, K., Loiseau, P. M., & Champy, P. (2015)","Medicinal plants and finished marketed herbal products used in the treatment of malaria in the Ashanti region, Ghana",Journal of ethnopharmacology ,172,333-346,1957,1995,1996,
Mareya spicata,Mareya spicata Baill.,Health care,treating malaria,Medicine: Malaria,Ashanti Region,3,"Asase, A., & Asafo-Agyei, T. (2011)",Plants used for treatment of malaria in communities around the Bobiri forest reserve in Ghana,"Journal of herbs, spices & medicinal plants ",17(2) ,85-120,NA,NA,NA,
Maytenus senegalensis,Maytenus senegalensis (Lam.) Exell.,Energy,used as fuel wood for cooking,Fuel,Upper West Region,40,"Asase, A., & Oteng-Yeboah, A. A. (2012)",Plants used in Wechiau Community Hippopotamus Sanctuary in Northwest Ghana,Ethnobotany Research and Applications,10,605-618,NA,NA,NA,
Maytenus senegalensis,Maytenus senegalensis (Lam.) Exell.,Social,used for carving stools,Artefacts,Upper West Region,40,"Asase, A., & Oteng-Yeboah, A. A. (2012)",Plants used in Wechiau Community Hippopotamus Sanctuary in Northwest Ghana,Ethnobotany Research and Applications,10,605-618,NA,NA,NA,
Maytenus senegalensis,Maytenus senegalensis (Lam.) Exell. (syn. Gymnosporia senegalensis (Lam.) Loes.),Health care,treating prostate cancer,Medicine: Cancer,Ashanti Region,40,"Agyare, C., Spiegler, V., Asase, A., Scholz, M., Hempel, G., & Hensel, A. (2018) ","An ethnopharmacological survey of medicinal plants traditionally used for cancer treatment in the Ashanti region, Ghana",Journal of ethnopharmacology ,212,137-152,NA,NA,NA,
Microdesmis puberula ,Microdesmis puberula Hook.f.ex Planch.,Health care,treating breast cancer,Medicine: Cancer,Ashanti Region,75,"Agyare, C., Spiegler, V., Asase, A., Scholz, M., Hempel, G., & Hensel, A. (2018) ","An ethnopharmacological survey of medicinal plants traditionally used for cancer treatment in the Ashanti region, Ghana",Journal of ethnopharmacology ,212,137-152,1953,1957,1977,
Microdesmis puberula ,Microdesmis puberula Hook.f. ex Planch.,Health care,treating malaria,Medicine: Malaria,Ashanti Region,75,"Komlaga, G., Agyare, C., Dickson, R. A., Mensah, M. L. K., Annan, K., Loiseau, P. M., & Champy, P. (2015)","Medicinal plants and finished marketed herbal products used in the treatment of malaria in the Ashanti region, Ghana",Journal of ethnopharmacology ,172,333-346,1953,1957,1977,
Milicia excelsa,Milicia excelsa (Welw.) C.C.Berg,Health care,treating headaches,Medicine: Analgesic,Brong-Ahafo Region,41,"Addo-Fordjour, P., Belford, E. J. D., & Akonnor, D. (2013)","Diversity and conservation of medicinal plants in the Bomaa community of the Brong Ahafo region, Ghana",Journal of medicinal plants research ,2(9) ,226-233,1959,1970,1977,
Milicia excelsa,Milicia excelsa (Welw.)C.C.Berg ,Health care,treating wounds,Medicine: Wound healing,Volta Region,61,"Barku, V. Y., Opoku-Boahen, Y., & Dali, G. A. (2015)","Ethnobotanical study of wound healing plants in Kpando Traditional Area, Ghana",International Journal of Phytomedicine ,6(4) ,564-572,1959,1971,1977,
Milicia excelsa,Milicia excelsa(Welw.)C.C.Berg,Health care,treating skin and prostate cancer,Medicine: Cancer,Ashanti Region,61,"Agyare, C., Spiegler, V., Asase, A., Scholz, M., Hempel, G., & Hensel, A. (2018) ","An ethnopharmacological survey of medicinal plants traditionally used for cancer treatment in the Ashanti region, Ghana",Journal of ethnopharmacology ,212,137-152,1959,1971,1977,
Milicia regia,Miliciaregia(A.Chev.)C.C.Berg,Health care,"treating lung, skin, stomach, throat and heart cancer",Medicine: Cancer,Ashanti Region,34,"Agyare, C., Spiegler, V., Asase, A., Scholz, M., Hempel, G., & Hensel, A. (2018) ","An ethnopharmacological survey of medicinal plants traditionally used for cancer treatment in the Ashanti region, Ghana",Journal of ethnopharmacology ,212,137-152,1958,1971,1979,
Mimosa pudica,Mimosa pudica L.,Health care,treating breast cancer,Medicine: Cancer,Ashanti Region,15,"Agyare, C., Spiegler, V., Asase, A., Scholz, M., Hempel, G., & Hensel, A. (2018) ","An ethnopharmacological survey of medicinal plants traditionally used for cancer treatment in the Ashanti region, Ghana",Journal of ethnopharmacology ,212,137-152,2010,2010,2010,
Mitracarpus villosus,Mitracarpus villosus Cham. & Schlecht. ,Health care,treating dermatitis,Medicine: Skin disorder,Eastern Region,0,"Pesewu, G. A., Cutler, R. R., & Humber, D. P. (2008)",Antibacterial activity of plants used in traditional medicines of Ghana with particular reference to MRSA.,Journal of ethnopharmacology,116(1) ,102-111,NA,NA,NA,
Mitracarpus villosus,Mitracarpus villosus Cham. & Schlecht. ,Health care,treating wound leprosy,Medicine: Wound healing,Eastern Region,0,"Pesewu, G. A., Cutler, R. R., & Humber, D. P. (2008)",Antibacterial activity of plants used in traditional medicines of Ghana with particular reference to MRSA.,Journal of ethnopharmacology,116(1) ,102-111,NA,NA,NA,
Mitracarpus villosus,Mitracarpus villosus Cham. & Schlecht. ,Health care,treating wounds and infections,Medicine: Wound healing,Eastern Region,1,"Pesewu, G. A., Cutler, R. R., & Humber, D. P. (2008)",Antibacterial activity of plants used in traditional medicines of Ghana with particular reference to MRSA.,Journal of ethnopharmacology,116(1) ,102-117,NA,NA,NA,
Mitragyna inermis,Mitragyna inermis (Willd). K. Schum,Health care,treating malaria,Medicine: Malaria,Upper West Region,5,"Asase, A., Oteng-Yeboah, A. A., Odamtten, G. T., & Simmonds, M. S. (2005)",Ethnobotanical study of some Ghanaian anti-malarial plants,Journal of Ethnopharmacology ,99(2) ,273-279,1956,1962,1995,
Mitragyna inermis,Mitragyna inermis (Willd.) Kuntze,Health care,treating malaria,Medicine: Malaria,Upper West Region,55,"Asase, A., & Oteng-Yeboah, A. A. (2012)",Plants used in Wechiau Community Hippopotamus Sanctuary in Northwest Ghana,Ethnobotany Research and Applications,10,605-618,1956,1962,1995,
Mitragyna inermis,Mitragyna inermis (Willd.) Kuntze,Energy,used as fuel wood for cooking,Fuel,Upper West Region,55,"Asase, A., & Oteng-Yeboah, A. A. (2012)",Plants used in Wechiau Community Hippopotamus Sanctuary in Northwest Ghana,Ethnobotany Research and Applications,10,605-618,1956,1962,1995,
Mitragyna inermis,Mitragyna inermis (Willd.) Kuntze,Construction,used for roofing buildings,Building materials,Upper West Region,55,"Asase, A., & Oteng-Yeboah, A. A. (2012)",Plants used in Wechiau Community Hippopotamus Sanctuary in Northwest Ghana,Ethnobotany Research and Applications,10,605-618,1956,1962,1995,
Mitragyna inermis,Mitragyna inermis (Willd.) Kuntze,Social,used for carving stools,Artefacts,Upper West Region,55,"Asase, A., & Oteng-Yeboah, A. A. (2012)",Plants used in Wechiau Community Hippopotamus Sanctuary in Northwest Ghana,Ethnobotany Research and Applications,10,605-618,1956,1962,1995,
Mitragyna inermis,Mitragyna inermis O.Kuntze,Health care,treating diabetes mellitus,Medicine: Diabetes,Greater Accra Region,55,"Asase, A., & Yohonu, D. T. (2016)",Ethnobotanical study of herbal medicines for management of diabetes mellitus in Dangme west district of Southern Ghana.,Journal of Herbal Medicine ,6(4),204-209,1956,1962,1995,
Mitragyna inermis,,Agriculture,used for preserving food,Post-harvest protectant,"Northern, Upper East and Upper West Regions",55,"Belmain, S. R., Neal, G. E., Ray, D. E., & Golob, P. (2001)",Insecticidal and vertebrate toxicity associated with ethnobotanicals used as post-harvest protectants in Ghana,Food and Chemical Toxicology,39(3),287-291,1956,1962,1995,
Mitragyna inermis,,Agriculture,protecting stored products,Post-harvest protectants,"Northern, Upper East and Upper West Regions",60,"Belmain, S., & Stevenson, P. (2001)",Ethnobotanicals in Ghana: reviving and modernising age-old farmer practice,Pesticide outlook ,12(6) ,233-238,1956,1962,1995,
Momordica angustisepala,Momordica angustisepala Harms,Health care,treating skin cancer,Medicine: Cancer,Ashanti Region,9,"Agyare, C., Spiegler, V., Asase, A., Scholz, M., Hempel, G., & Hensel, A. (2018) ","An ethnopharmacological survey of medicinal plants traditionally used for cancer treatment in the Ashanti region, Ghana",Journal of ethnopharmacology ,212,137-152,NA,NA,NA,
Momordica charantia,Momordica charantia L.,Health care,treating typhoid,Medicine: Fever,Greater Accra Region,43,"Asase, A., & Kadera, M. L. (2014)",Herbal medicines for child healthcare from Ghana,Journal of Herbal Medicine,4(1),24-36,NA,NA,NA,
Momordica charantia,Momordica charantia L.,Health care,treating malaria,Medicine: Malaria,Ashanti Region,43,"Komlaga, G., Agyare, C., Dickson, R. A., Mensah, M. L. K., Annan, K., Loiseau, P. M., & Champy, P. (2015)","Medicinal plants and finished marketed herbal products used in the treatment of malaria in the Ashanti region, Ghana",Journal of ethnopharmacology ,172,333-346,1935,1968,1991,
Momordica charantia,Momordica charantia L.,Health care,treating malaria,Medicine: Malaria,Ashanti Region,44,"Asase, A., & Asafo-Agyei, T. (2011)",Plants used for treatment of malaria in communities around the Bobiri forest reserve in Ghana,"Journal of herbs, spices & medicinal plants ",17(2) ,85-119,1935,1968,1991,
Momordica charantia,Momordica charantia L. ,Health care,treating measles ,Medicine: Skin disorder,Eastern Region,43,"Pesewu, G. A., Cutler, R. R., & Humber, D. P. (2008)",Antibacterial activity of plants used in traditional medicines of Ghana with particular reference to MRSA.,Journal of ethnopharmacology,116(1) ,102-111,1935,1968,1991,
Momordica charantia,Momordica charantia L. ,Health care,treating diabetes mellitus,Medicine: Diabetes,Greater Accra Region,43,"Asase, A., & Yohonu, D. T. (2016)",Ethnobotanical study of herbal medicines for management of diabetes mellitus in Dangme west district of Southern Ghana.,Journal of Herbal Medicine ,6(4),204-209,1935,1968,1991,
Momordica charantia,Momordica charantia L. ,Health care,treating diabetes,Medicine: Diabetes,Greater Accra Region,43,"Boadu, A. A., & Asase, A. (2017)",Documentation of herbal medicines used for the treatment and Management of Human Diseases by some communities in southern Ghana,Evidence-Based Complementary and Alternative Medicine ,,2017,1935,1968,1991,
Momordica charantia,Momordica charantia L. ,Health care,treating snake bites,Medicine: Antivenins,Greater Accra Region,43,"Boadu, A. A., & Asase, A. (2017)",Documentation of herbal medicines used for the treatment and Management of Human Diseases by some communities in southern Ghana,Evidence-Based Complementary and Alternative Medicine ,,2017,1935,1968,1991,
Momordica charantia,,Culture,used for rituals,Cultural purposes,"Greater Accra, Ashanti,Northern,Central, Eastern Regions",43,"Van Andel, T., Myren, B., & Van Onselen, S. (2012)",Ghana's herbal market,Journal of Ethnopharmacology,140(2),368-378,1935,1968,1991,
Momordica charantia,,Health care,for treating fever,Medicine: Fever,"Greater Accra, Ashanti,Northern,Central, Eastern Regions",43,"Van Andel, T., Myren, B., & Van Onselen, S. (2012)",Ghana's herbal market,Journal of Ethnopharmacology,140(2),368-378,1935,1968,1991,
Momordica charantia,,Health care,for treating measles,Medicine: Skin diseases,"Greater Accra, Ashanti,Northern,Central, Eastern Regions",43,"Van Andel, T., Myren, B., & Van Onselen, S. (2012)",Ghana's herbal market,Journal of Ethnopharmacology,140(2),368-378,1935,1968,1991,
Momordica charantia,,Health care,used to induce abortion,Medicine: Miscarriage in early pregnancy,"Greater Accra, Ashanti,Northern,Central, Eastern Regions",43,"Van Andel, T., Myren, B., & Van Onselen, S. (2012)",Ghana's herbal market,Journal of Ethnopharmacology,140(2),368-378,1935,1968,1991,
Momordica charantia ,Momordica charantia L.,Health care,"treating stomach, skin, cervical and breast cancer",Medicine: Cancer,Ashanti Region,43,"Agyare, C., Spiegler, V., Asase, A., Scholz, M., Hempel, G., & Hensel, A. (2018) ","An ethnopharmacological survey of medicinal plants traditionally used for cancer treatment in the Ashanti region, Ghana",Journal of ethnopharmacology ,212,137-152,1935,1968,1991,
Monodora myristica,Monodora myristica (Gaertn.) Dunal,Health care,treating stomach aches,Medicine: Analgesic,Brong-Ahafo Region,58,"Addo-Fordjour, P., Belford, E. J. D., & Akonnor, D. (2013)","Diversity and conservation of medicinal plants in the Bomaa community of the Brong Ahafo region, Ghana",Journal of medicinal plants research ,2(9) ,226-233,1958,1963,1994,
Monodora myristica,Monodora myristica (Gaertn.) Dunal,Health care,treating candidiasis,Medicine: Infections,Brong-Ahafo Region,58,"Addo-Fordjour, P., Belford, E. J. D., & Akonnor, D. (2013)","Diversity and conservation of medicinal plants in the Bomaa community of the Brong Ahafo region, Ghana",Journal of medicinal plants research ,2(9) ,226-233,1958,1963,1994,
Monodora myristica,Monodora myristica Dunal,Food and nutrition,used as as spices,Food,All regions in Ghana,58,"Freiesleben, S. H., Soelberg, J., & Jäger, A. K. (2015)",Medicinal plants used as excipients in the history in Ghanaian herbal medicine,Journal of ethnopharmacology ,174,561-568,1958,1963,1994,
Monodora myristica,Monodora myristica Dunal,Health care,used as excipients,Medicine,All regions in Ghana,58,"Freiesleben, S. H., Soelberg, J., & Jäger, A. K. (2015)",Medicinal plants used as excipients in the history in Ghanaian herbal medicine,Journal of ethnopharmacology ,174,561-568,1958,1963,1994,
Monodora myristica,,Food and nutrition,used as spices,Food,"Greater Accra, Ashanti,Northern,Central, Eastern Regions",58,"Van Andel, T., Myren, B., & Van Onselen, S. (2012)",Ghana's herbal market,Journal of Ethnopharmacology,140(2),368-378,1958,1963,1994,
